OrderID,ItemsQuantity,State,City,Street,AppartmentNumber,Pincode,Landmark,Discount,DeliveryCost,TotalAmount,ModeOfPayment,TransactionID,OrderDate,DeliveryDate,AgentID,PharmacyID,PrescriptionID,UserID,Status,Subscription
573,8,Georgia,Jinshanzui,4 Elmside Street,22,79206,near Government School,4.22,55.78,1369.03,Net Banking,PKSXVW584571,2021-01-23,2021-01-28,65,242,,496,Cancelled,0
574,3,California,San Rafael,312 Corscot Road,83,77750,opposite Bakery,19.07,46.19,195.38,Net Banking,WDSNNM603572,2021-01-23,2021-02-02,66,86,,579,Cancelled,0
575,2,Louisiana,Tanxi,16495 Declaration Lane,48,24132,front of Mall,76.44,90.95,1020.4,Net Banking,GOBAGE029624,2021-01-23,2021-01-29,83,60,,667,Dispatched,0
576,3,Maryland,Jaguaribe,85 Sugar Lane,64,64548,opposite Bakery,91.06,60.4,675.96,Credit Card,PWBWBA788588,2021-01-23,2021-01-27,49,203,,692,Cancelled,0
577,7,Utah,Staraya Stanitsa,13777 Marquette Pass,27,17169,near Metro,99.02,66.02,1956.05,Credit Card,ZUMGRT129124,2021-01-23,2021-01-27,87,209,,711,Order Placed,0
578,9,New York,Longar,09018 La Follette Lane,80,65019,near Metro,83.02,38.39,957.21,COD,ECTDZI475177,2021-01-23,2021-02-02,3,129,,717,Order Placed,0
579,4,Arizona,San Isidro,2333 Coleman Trail,69,87906,,36.2,86.52,296.84,Net Banking,PKGESZ438898,2021-01-23,2021-01-26,26,81,,740,Being Placed,0
580,6,West Virginia,Jinxiu,31507 Laurel Crossing,19,86742,,7.71,40.35,367.05,Credit Card,TXNAHM642052,2021-01-23,2021-01-28,10,107,,811,Out For Delivery,0
581,1,New Jersey,Karlstad,15 Darwin Hill,20,77137,,0.55,31.3,107.58,Delivered,GPKPDI197643,2021-01-23,2021-01-26,35,34,525,824,Being Placed,1
582,7,Georgia,Dome,7602 Barby Court,1,68482,near Bus Stand,74.86,65.38,344.7,E-Wallet,QLAZAP529417,2021-01-23,2021-02-02,92,111,,889,Order Placed,0
583,1,Washington,Nýřany,75 Quincy Plaza,6,94674,near Garden,6.5,34.47,83.86,Dispatched,HQSCRX386390,2021-01-23,2021-01-28,53,217,,917,Dispatched,1
584,7,Nevada,Ilopango,5272 Veith Circle,57,41829,near Government School,41.16,95.22,537.91,Credit Card,YLIIWA231181,2021-01-23,2021-02-02,71,299,,968,Out For Delivery,0
585,5,Virginia,Guarapari,60359 Northfield Trail,28,68649,opposite Bakery,46.57,34.15,1823.19,E-Wallet,CGVKDW944105,2021-01-24,2021-01-31,24,208,,148,Being Placed,0
586,9,Louisiana,Boucherville,1584 Riverside Pass,96,34048,near Bus Stand,71.53,41.05,2597.44,COD,GIEWLN956258,2021-01-24,2021-01-30,2,118,,172,Cancelled,0
587,4,Illinois,Storozhevaya,1 Monterey Drive,49,46030,near Bus Stand,6.02,50.05,633.24,COD,OHVKDU840636,2021-01-24,2021-01-28,50,176,,177,Order Placed,0
588,7,Arizona,Morrito,911 Hayes Drive,73,14560,opposite Mall,40.73,36.21,1122.83,Net Banking,OEBXKK237361,2021-01-24,2021-02-02,6,293,,495,Delivered,0
589,8,Pennsylvania,Palomoc,4 Schiller Street,67,86366,opposite Bakery,72.1,56.69,1119.26,Net Banking,UGMBKV240096,2021-01-24,2021-01-27,29,20,,512,Order Placed,0
590,9,Texas,Mamurras,5 Corry Circle,29,56226,opposite Mall,66.02,70.8,1355.61,COD,LZOLAO797071,2021-01-24,2021-01-28,86,26,,527,Dispatched,0
591,4,Kentucky,Esperanza,72267 7th Crossing,46,13284,opposite Bakery,97.7,71.38,331.23,Credit Card,DTMZKR763194,2021-01-24,2021-01-29,33,65,,609,Out For Delivery,0
592,2,Louisiana,Zrenjanin,5 Monument Circle,56,44870,opposite Mall,75.75,71.19,135.42,COD,GFVHBT853067,2021-01-24,2021-02-02,64,150,,630,Dispatched,0
593,1,Louisiana,Zrenjanin,5 Monument Circle,56,44870,opposite Mall,18.53,97.6,985.21,Out For Delivery,IYZVAO493577,2021-01-24,2021-01-29,86,180,553,630,Cancelled,1
594,2,Kentucky,Camperdown,32406 Petterle Way,4,15384,opposite Mall,41.96,92.94,112.12,Net Banking,VLQFIZ056222,2021-01-24,2021-01-31,40,29,,639,Being Placed,0
595,3,Massachusetts,Huangtukuang,706 Derek Road,50,97118,near Garden,87.5,71.83,104.61,Credit Card,ZFMGJC019513,2021-01-24,2021-01-28,67,228,,701,Dispatched,0
596,3,Pennsylvania,Longlisuo,8 Heffernan Lane,11,14674,near Bus Stand,99.02,56.73,178.3,COD,RNIUVF858602,2021-01-24,2021-01-31,47,95,,716,Cancelled,0
597,5,Texas,Pagnag,72 Rockefeller Point,64,99397,opposite Mall,56.96,30.86,1252.93,Credit Card,QXCXOS196800,2021-01-24,2021-01-27,8,248,,829,Out For Delivery,0
598,1,Indiana,Nglorogan,76728 Elka Pass,98,24962,,86.56,52.68,143.37,Delivered,DIGCZX656532,2021-01-24,2021-01-28,11,214,,836,Being Placed,1
599,7,District of Columbia,Avelinha,7 Corscot Pass,99,43671,opposite Mall,2.7,72.93,2127.87,Credit Card,NJBOOH845674,2021-01-24,2021-02-01,88,20,,902,Delivered,0
600,7,Kentucky,Jinzhou,836 Mesta Trail,19,27166,opposite Bakery,51.02,34.64,963.34,Net Banking,UNZUDY632874,2021-01-24,2021-02-01,25,293,,934,Order Placed,0
601,9,Florida,Hualong,1064 Lake View Place,64,71364,front of Mall,95.55,51.93,768.94,COD,OOYKKY303831,2021-01-24,2021-01-28,60,138,,936,Dispatched,0
602,1,Arizona,Santa Eulalia,50 Warner Parkway,29,84728,near Bus Stand,77.41,30.75,1.76,Out For Delivery,NPORTQ536396,2021-01-24,2021-01-29,24,181,377,939,Cancelled,1
603,4,Minnesota,Paris 15,49 7th Junction,42,99714,opposite Bakery,55.99,45.8,485.54,E-Wallet,PNLWCJ756112,2021-01-24,2021-02-02,55,125,,949,Being Placed,0
604,1,West Virginia,Iñapari,74643 Fair Oaks Alley,43,39969,,76.52,48.92,42.94,Net Banking,ZDSBRT148971,2021-01-24,2021-02-02,51,48,618,951,Being Placed,0
605,3,Texas,Villaba,04099 Ryan Terrace,80,16827,front of Mall,36.43,61.52,234.34,Net Banking,LTIONX489607,2021-01-25,2021-01-29,62,193,,6,Delivered,0
606,5,Missouri,Petani,72551 Eliot Avenue,51,92910,near Metro,96.35,62.47,212.32,Net Banking,QXDGOU926178,2021-01-25,2021-01-31,97,202,,47,Order Placed,0
607,1,Virginia,Beckerich,2642 Elka Junction,74,85538,,52.4,59.46,61.46,Out For Delivery,BASZTD398301,2021-01-25,2021-02-01,33,62,348,72,Delivered,1
608,4,California,Heby,5 Gateway Trail,78,82296,,50.71,65.09,123.84,Net Banking,NIGUVI167824,2021-01-25,2021-02-01,92,262,,74,Delivered,0
609,8,Kentucky,Guadalupe,7 Amoth Trail,30,56647,,53.71,41.11,1580.16,Net Banking,XRJTGO500312,2021-01-25,2021-01-29,87,134,,83,Dispatched,0
610,6,District of Columbia,Fuzhou,44 Beilfuss Point,54,54089,near Garden,27.25,84.53,1910.77,COD,EMNFQI951795,2021-01-25,2021-02-04,59,30,,126,Dispatched,0
611,7,Colorado,Pa Kham,210 Columbus Court,36,70349,,10.3,76.63,565.37,COD,IJLAOH075656,2021-01-25,2021-02-04,41,120,,143,Cancelled,0
612,8,Virginia,Hengzhou,2 Fallview Crossing,70,29894,,81.42,51.72,803.41,E-Wallet,JWWBPQ216985,2021-01-25,2021-02-04,60,263,,217,Cancelled,0
613,8,Ohio,Mariental,36 Mosinee Hill,48,88830,,37.08,48.86,437.72,COD,NKEACG133967,2021-01-25,2021-01-30,27,49,,283,Being Placed,0
614,1,Missouri,Rosmaninhal,90 Rowland Alley,76,97890,near Bus Stand,86.63,98.36,49,E-Wallet,ZYOBCE226088,2021-01-25,2021-01-29,23,263,,314,Delivered,0
615,3,Virginia,Skoútari,5836 Elmside Lane,30,19052,,18.96,55.66,439.62,Credit Card,BXMLOF282342,2021-01-25,2021-01-30,84,87,,344,Out For Delivery,0
616,3,Texas,Kulonkali,14012 Blackbird Point,38,68341,near Government School,68.56,59.48,64.49,Credit Card,WPFTTY432759,2021-01-25,2021-01-29,66,264,,378,Out For Delivery,0
617,1,Missouri,Farmington,20 Scofield Circle,13,31435,opposite Bakery,28.15,30.17,86.87,Being Placed,ANHMPA693147,2021-01-25,2021-01-28,42,207,,405,Being Placed,1
618,3,Tennessee,Katyuzhanka,8248 Vera Avenue,84,59575,near Garden,88.32,60.99,87.72,COD,NONHKY685776,2021-01-25,2021-02-02,29,61,,409,Being Placed,0
619,8,Alabama,Princeville,9500 Mandrake Point,34,56797,,6.4,96.2,745.01,COD,GTRGSG814945,2021-01-25,2021-01-30,82,190,,428,Dispatched,0
620,3,Oklahoma,Gorskaya,15362 Hauk Place,40,88709,near Government School,72.26,90.69,138.5,Credit Card,TJIVCO626551,2021-01-25,2021-02-01,25,33,,460,Being Placed,0
621,5,Texas,Zamboanga,05445 Welch Hill,69,55722,near Metro,54.91,55.65,1283.21,Net Banking,GWYHKT479293,2021-01-25,2021-01-28,70,100,,471,Dispatched,0
622,9,Louisiana,Barabedang,05920 Waywood Center,52,62527,front of Mall,97.24,43.32,1287.87,COD,ZTBXPR373567,2021-01-25,2021-01-31,24,262,,480,Cancelled,0
623,3,Nebraska,Johanneshov,85 Redwing Drive,15,85984,front of Mall,83.74,82.76,140.47,Credit Card,DOVCLJ097047,2021-01-25,2021-02-02,54,240,,535,Being Placed,0
624,8,West Virginia,Sampangbitung,47275 Corry Trail,97,30966,,12.32,56.01,2215.74,Credit Card,UZZZZD445018,2021-01-25,2021-02-01,14,36,,536,Out For Delivery,0
625,1,Colorado,Jal�l�b�d,93700 Stoughton Way,85,99454,opposite Bakery,38.71,44.45,53.88,Cancelled,DUIADM529910,2021-01-25,2021-01-28,31,107,,640,Order Placed,1
626,3,Minnesota,Pueai Noi,096 Independence Point,10,63616,near Garden,10.54,95.36,182.66,E-Wallet,WBHGNR049806,2021-01-25,2021-02-01,85,225,,644,Delivered,0
627,2,California,Lakatoro,74228 Bobwhite Park,86,51144,opposite Bakery,27.97,45.2,166.01,Credit Card,RRIEMX027283,2021-01-25,2021-02-03,77,27,,656,Order Placed,0
628,1,Maryland,Jaguaribe,85 Sugar Lane,64,64548,opposite Bakery,32.62,37.8,61.48,Net Banking,SUVLNO297809,2021-01-25,2021-01-30,4,112,,692,Cancelled,0
629,9,Illinois,Jiangdianzi,4 Dryden Circle,91,66676,opposite Mall,50.1,97.75,1444.12,Credit Card,ZVJXCD313606,2021-01-25,2021-02-03,2,253,,764,Out For Delivery,0
630,1,Arizona,Houping,88 Di Loreto Hill,18,50683,opposite Bakery,46.34,69.56,96.13,Order Placed,DTDXNT025241,2021-01-25,2021-01-28,42,65,,799,Being Placed,1
631,1,California,Chavdar,407 Coleman Terrace,39,16627,opposite Bakery,70.61,36.93,59.51,Delivered,ZNCJTD315165,2021-01-25,2021-01-30,45,142,659,817,Order Placed,1
632,6,Nevada,Maraial,5 Daystar Drive,97,44655,opposite Bakery,0.75,39.6,1181.76,Net Banking,TDCIQK101801,2021-01-25,2021-02-02,59,199,,826,Being Placed,0
633,1,District of Columbia,Gunungkendeng,18508 Homewood Court,44,55597,near Bus Stand,44.84,56.03,27.05,E-Wallet,DQIDDH713653,2021-01-25,2021-02-01,16,124,,860,Cancelled,0
634,9,Missouri,Tawan tawan,5752 Transport Court,81,13937,,55.47,83.32,470.08,E-Wallet,CHIBTP936317,2021-01-25,2021-01-29,17,251,,867,Being Placed,0
635,8,Virginia,Duba-Yurt,69 Pleasure Circle,64,81831,near Government School,45.86,50.37,954.52,Credit Card,HRFPBM554664,2021-01-25,2021-02-02,7,81,,876,Cancelled,0
636,5,Washington,San Pedro,0 Waubesa Plaza,99,59678,near Metro,31.25,61.01,374.82,Credit Card,JYNHEL132992,2021-01-25,2021-02-03,11,197,,885,Delivered,0
637,4,California,Makoua,893 Fuller Center,16,80247,near Government School,51.01,58.86,252.08,E-Wallet,ZKSROT881051,2021-01-25,2021-01-28,40,174,,988,Dispatched,0
638,1,Hawaii,Batangan,2 Gerald Pass,66,19191,near Bus Stand,26.39,42.11,64.73,Cancelled,DUTLQT287191,2021-01-26,2021-02-02,65,56,351,79,Delivered,1
639,8,Texas,Azun Atme,7564 Dorton Park,84,84818,opposite Mall,1.6,99.78,440.74,Credit Card,GSTFHF981772,2021-01-26,2021-02-03,90,292,,106,Being Placed,0
640,1,Texas,Azun Atme,7564 Dorton Park,84,84818,opposite Mall,31.85,89.22,769.93,Delivered,USARSA836072,2021-01-26,2021-02-02,53,214,,106,Out For Delivery,1
641,5,California,Yaurisque,81211 Nobel Circle,30,11318,near Government School,11.74,88.9,826.11,COD,YSVFBY283598,2021-01-26,2021-01-29,53,282,,119,Being Placed,0
642,1,Texas,Yazykovo,9297 Manitowish Pass,43,28589,near Bus Stand,3.37,58.8,90.46,Credit Card,HCAKMO063790,2021-01-26,2021-02-05,2,86,,134,Being Placed,0
643,5,Louisiana,Zakan-Yurt,2065 Rusk Hill,49,10390,opposite Bakery,36.74,32.99,357.13,Net Banking,SATGLC697634,2021-01-26,2021-01-29,43,15,,152,Order Placed,0
644,6,South Carolina,Kalnibolotskaya,6 Valley Edge Road,82,87955,front of Mall,4.65,39.54,352.54,Net Banking,HIBAIJ215219,2021-01-26,2021-02-03,29,257,,190,Order Placed,0
645,1,West Virginia,Thị Trấn Na Hang,519 Paget Way,77,40304,front of Mall,18.59,62.01,72.81,Being Placed,ULZEZO976896,2021-01-26,2021-01-31,89,228,,214,Cancelled,1
646,8,Tennessee,Zhangjiawan,82 Steensland Crossing,8,52344,,60.36,43.13,2196.22,E-Wallet,ZHVZHK578312,2021-01-26,2021-02-03,58,166,,232,Being Placed,0
647,1,California,El Carmen,1708 Center Crossing,26,28178,opposite Mall,62,73.94,73.69,Net Banking,YOPYYI468119,2021-01-26,2021-01-29,39,212,,237,Delivered,0
648,3,California,Chemnitz,855 Mosinee Parkway,54,53000,,16.11,93.32,288.19,E-Wallet,WPIHLX079321,2021-01-26,2021-01-29,67,94,,403,Out For Delivery,0
649,1,Florida,Nakhon Pathom,31831 Northridge Junction,9,51384,,5.61,94.68,122.04,Out For Delivery,FTWUBP467830,2021-01-26,2021-02-01,9,205,433,440,Out For Delivery,1
650,2,Virginia,Gia Ray,84260 Armistice Court,9,29730,,92.13,74.54,134.59,Credit Card,UNMMSS840092,2021-01-26,2021-02-05,71,60,,459,Being Placed,0
651,5,Illinois,Pirogovo,07531 Twin Pines Terrace,65,72922,,41.38,52.17,268.97,Credit Card,DICVTR390796,2021-01-26,2021-02-05,35,22,,498,Being Placed,0
652,4,Texas,Z�khū,7793 Talisman Plaza,77,81948,opposite Bakery,54.17,54.06,913.53,COD,CCGFTS639684,2021-01-26,2021-01-31,23,99,,531,Dispatched,0
653,1,New York,Xinghua,27978 Johnson Center,28,46963,near Bus Stand,69.68,55.7,17.81,Being Placed,UUDJSQ627326,2021-01-26,2021-01-30,95,209,91,534,Cancelled,1
654,4,California,San Rafael,312 Corscot Road,83,77750,opposite Bakery,64.45,85.47,314.51,Credit Card,VSPWNM837600,2021-01-26,2021-02-04,26,51,,579,Dispatched,0
655,9,Washington,Maradi,7446 Veith Crossing,98,93423,near Government School,66.68,70.42,1644.31,COD,ZZUOEG417274,2021-01-26,2021-02-01,7,177,,654,Out For Delivery,0
656,4,District of Columbia,Gelan,294 Hoard Park,85,91568,,42.63,87.33,834.92,COD,WUJCXF857950,2021-01-26,2021-02-02,72,163,,669,Delivered,0
657,9,Pennsylvania,Hujra,9531 Katie Plaza,17,22861,opposite Mall,4.97,71.85,514.86,E-Wallet,FWTAVH435088,2021-01-26,2021-01-30,91,219,,685,Dispatched,0
658,2,Oklahoma,Horgo,2 8th Junction,49,26410,,80.64,62.68,952.4,Net Banking,PXMOKJ262747,2021-01-26,2021-02-02,72,62,,688,Order Placed,0
659,10,Texas,Ragay,26 Meadow Vale Avenue,13,78464,near Metro,83.9,80.96,527.91,COD,GELAFK531736,2021-01-26,2021-02-05,64,39,,699,Order Placed,0
660,3,Idaho,Des Moines,20 Little Fleur Crossing,59,64027,opposite Mall,55.11,66.9,145.73,Net Banking,PYAVOZ235614,2021-01-26,2021-01-29,3,76,,730,Dispatched,0
661,6,Texas,Drybin,2020 Acker Terrace,90,66881,,38.72,39.15,1067.35,E-Wallet,WRMPXO079797,2021-01-26,2021-01-29,93,268,,748,Delivered,0
662,4,Illinois,Patalan,681 Lakewood Gardens Parkway,16,61854,,83.1,99.46,1072.25,E-Wallet,UHJNGP935969,2021-01-26,2021-01-30,63,241,,853,Delivered,0
663,1,District of Columbia,Baranowo,400 Elgar Hill,44,48488,opposite Bakery,20.86,48.03,85.99,E-Wallet,VRJPBK117259,2021-01-26,2021-02-05,74,253,,908,Being Placed,0
664,1,New Mexico,Luhe,372 Laurel Avenue,15,29469,opposite Mall,0.97,66.03,85.57,Dispatched,VKIKNW318528,2021-01-26,2021-01-31,16,299,,921,Cancelled,1
665,1,California,Toki,3 Blue Bill Park Crossing,43,68318,near Metro,68.9,99.99,67.11,Credit Card,MNLIBF270308,2021-01-26,2021-02-02,90,263,634,931,Dispatched,0
666,8,West Virginia,Iñapari,74643 Fair Oaks Alley,43,39969,,32.92,49.69,1341.02,COD,HDEIYJ091620,2021-01-26,2021-02-01,16,109,,951,Delivered,0
667,1,Texas,Azun Atme,7564 Dorton Park,84,84818,opposite Mall,4.99,87.37,118.63,Net Banking,EHEIKY058888,2021-01-27,2021-02-03,75,45,,106,Being Placed,0
668,5,California,Marmashen,422 Aberg Circle,22,46834,near Garden,84.56,54.41,543.06,E-Wallet,VJFLMK010938,2021-01-27,2021-02-03,39,263,,181,Being Placed,0
669,9,Minnesota,Sokolov,5296 Kenwood Place,86,61998,,52.8,59.72,297.31,Net Banking,DZIJLO188010,2021-01-27,2021-02-05,93,70,,229,Being Placed,0
670,8,California,Washington,593 Shopko Road,89,32068,opposite Bakery,79.95,49.7,1519.08,Credit Card,ULKRCI774023,2021-01-27,2021-02-06,74,91,,305,Being Placed,0
671,5,Florida,Açucena,8 Fremont Street,66,76176,opposite Bakery,34.19,69.8,259,Net Banking,OXWMUL549791,2021-01-27,2021-01-31,93,116,,353,Cancelled,0
672,4,Florida,Las Mesas,483 5th Plaza,11,24769,,11.04,66.79,290.88,Net Banking,MNLSLY649414,2021-01-27,2021-01-30,24,32,,386,Cancelled,0
673,1,Louisiana,San Felipe,38 Dennis Court,63,31940,,69.95,59.1,970.02,Cancelled,PVJBHJ976194,2021-01-27,2021-02-03,85,198,329,411,Being Placed,1
674,5,Washington,Sosnovka,4666 Waxwing Plaza,93,34518,,65.07,58.05,286.17,COD,QQRCLQ479599,2021-01-27,2021-02-03,13,134,,447,Dispatched,0
675,9,District of Columbia,Cambrai,926 Becker Lane,70,55992,,41.26,32.02,665.54,Credit Card,BEKEPJ411951,2021-01-27,2021-02-05,56,266,,510,Order Placed,0
676,1,Pennsylvania,Palomoc,4 Schiller Street,67,86366,opposite Bakery,57.59,62.35,89.35,Delivered,QGWDBB105229,2021-01-27,2021-02-02,92,71,,512,Order Placed,1
677,4,Virginia,Montpellier,36 Cottonwood Terrace,42,75215,,5.87,70.05,204.04,COD,VMKHGP336128,2021-01-27,2021-02-05,83,16,,513,Order Placed,0
678,7,Florida,Toulon,7 Northport Road,99,26610,,67.68,41.05,2224.16,Credit Card,RKKMWB719920,2021-01-27,2021-01-30,25,216,,524,Dispatched,0
679,5,Virginia,Uujim,13 Kedzie Road,24,42426,near Garden,36.28,58.72,692.63,E-Wallet,OKFZZZ179781,2021-01-27,2021-02-02,22,153,,541,Being Placed,0
680,3,California,Victoria,412 Graedel Hill,48,41304,front of Mall,97.96,82.77,931.27,Net Banking,HDRVKW441397,2021-01-27,2021-02-03,59,43,,601,Out For Delivery,0
681,6,Florida,Kedungasem,96695 Steensland Pass,15,80268,,55.18,60.68,1389.4,Net Banking,MLZKHT894389,2021-01-27,2021-02-05,79,283,,627,Delivered,0
682,7,Florida,Kedungasem,96695 Steensland Pass,15,80268,,57.89,82.6,1586.09,Credit Card,DSOBQS391063,2021-01-27,2021-02-01,17,6,,627,Delivered,0
683,7,Florida,Jianxin,12 Texas Junction,75,96044,near Garden,96.39,65.26,708.8,E-Wallet,ENWLYG446238,2021-01-27,2021-02-06,69,300,,657,Cancelled,0
684,7,Georgia,Den Haag,301 Southridge Road,29,41409,near Garden,84.88,66.75,876.81,E-Wallet,JYHAKJ903017,2021-01-27,2021-02-01,97,51,,671,Delivered,0
685,5,Arizona,Ituberá,34181 International Crossing,21,31912,,74.98,65.63,1030.99,Net Banking,PLHHLS659790,2021-01-27,2021-02-06,40,205,,739,Out For Delivery,0
686,3,North Carolina,Mae Fa Luang,184 Grim Street,28,58291,near Government School,36.31,54.65,197.17,COD,RSECZB563799,2021-01-27,2021-02-01,24,70,,792,Order Placed,0
687,6,Alabama,Adygeysk,5 Ludington Street,10,90821,,80.45,92.49,276.99,COD,LQRDNS444650,2021-01-27,2021-02-03,31,291,,796,Order Placed,0
688,7,Iowa,Novogornyy,397 Jenifer Terrace,26,98249,near Garden,26.44,32.18,450.79,Credit Card,YEBXFS797675,2021-01-27,2021-01-30,21,29,,810,Order Placed,0
689,2,District of Columbia,Furudate,0574 Garrison Court,63,90443,near Government School,50.36,75.47,471.51,E-Wallet,NDNREH266933,2021-01-27,2021-02-04,27,298,,833,Cancelled,0
690,8,New York,Botao,791 Scofield Avenue,72,75031,near Garden,56.22,99.23,438.4,Credit Card,NYMYFJ276743,2021-01-27,2021-02-05,88,263,,966,Dispatched,0
691,3,Missouri,Dinggou,437 Mcguire Plaza,98,14413,near Metro,24.92,61.48,1394.51,Credit Card,GDMYKV242098,2021-01-28,2021-02-04,2,215,,4,Out For Delivery,0
692,7,Massachusetts,Amsterdam Binnenstad en Oostelijk Havengebied,53997 3rd Park,76,23300,,58.28,96.49,1171.98,E-Wallet,PPWDKI617094,2021-01-28,2021-02-05,77,26,,14,Order Placed,0
693,1,Hawaii,Batangan,2 Gerald Pass,66,19191,near Bus Stand,79.91,42.43,44.9,E-Wallet,ODLZBN633791,2021-01-28,2021-02-01,85,163,351,79,Cancelled,0
694,6,Tennessee,Chuntai,4236 4th Crossing,64,23224,near Metro,95.93,58.35,191.54,COD,RKFDTY695891,2021-01-28,2021-02-04,2,25,,102,Out For Delivery,0
695,2,South Dakota,Santa Clara,530 West Terrace,27,42771,,81.91,65.71,132.16,Net Banking,AWGOGI252370,2021-01-28,2021-02-07,49,290,,176,Delivered,0
696,6,New York,Gantang,83267 Talisman Terrace,98,53539,near Bus Stand,80.94,36.99,337.97,Credit Card,KGFHQK340863,2021-01-28,2021-02-01,68,13,,195,Order Placed,0
697,6,Michigan,Phùng,79 Moose Hill,1,74620,near Metro,18.71,58.64,484.97,E-Wallet,TGJDZE521065,2021-01-28,2021-02-05,84,17,,308,Order Placed,0
698,7,Arizona,Morrito,911 Hayes Drive,73,14560,opposite Mall,13.22,90.46,1843.15,E-Wallet,HQJDQY233913,2021-01-28,2021-02-01,98,79,,495,Delivered,0
699,5,New Jersey,Starobelokurikha,7111 Eagle Crest Hill,65,97459,opposite Bakery,89.8,33.79,518.1,COD,IOCZDW587584,2021-01-28,2021-02-07,10,52,,526,Out For Delivery,0
700,10,California,Shetan,14 North Hill,49,24692,near Metro,44.32,85.53,1337.54,E-Wallet,KWJRBK288950,2021-01-28,2021-02-03,41,98,,591,Being Placed,0
701,5,Tennessee,Liulin,121 Jenna Point,33,33118,,89.16,89.45,382.51,E-Wallet,LJNABK500349,2021-01-28,2021-02-05,44,142,,595,Delivered,0
702,9,Georgia,Jelsa,49 Judy Way,53,81183,opposite Bakery,63.88,94.5,691.87,COD,GSCVZP241857,2021-01-28,2021-02-01,94,195,,683,Out For Delivery,0
703,1,Georgia,Nanggewer,85 Namekagon Pass,75,50493,opposite Mall,80.69,78.96,69.18,Net Banking,OBEONM415031,2021-01-28,2021-02-05,69,186,127,697,Cancelled,0
704,1,Missouri,Uzdin,8190 Portage Road,36,51185,near Bus Stand,92.91,64.75,10.06,Credit Card,TDKPTL981748,2021-01-28,2021-02-01,51,265,120,735,Order Placed,0
705,1,Virginia,Boulsa,45662 Westridge Plaza,80,56752,near Metro,18.73,72.13,120.07,Dispatched,OCWMOG127789,2021-01-28,2021-02-03,79,146,,795,Being Placed,1
706,9,Ohio,Kakan,74560 Bobwhite Crossing,41,79994,near Bus Stand,39.4,37.53,572.76,E-Wallet,FYNRMV070402,2021-01-28,2021-02-03,63,40,,831,Cancelled,0
707,1,Colorado,Washington,40 Ilene Junction,61,64169,,92.29,51.28,49.77,Being Placed,CTELSJ259690,2021-01-28,2021-02-01,34,281,,862,Order Placed,1
708,1,New York,Lawdar,46 Schmedeman Point,74,89593,,0.26,47.87,68.82,Being Placed,XLWEMN410148,2021-01-28,2021-02-03,74,280,,872,Out For Delivery,1
709,3,Florida,Maciejowice,91770 Main Drive,62,63615,,8.35,86.42,297.64,E-Wallet,CBBGRJ724731,2021-01-28,2021-02-07,90,262,,940,Being Placed,0
710,7,Pennsylvania,Monte Novo,2 Sycamore Pass,79,92386,,80.26,54.91,1219.91,Net Banking,CPMIGK377092,2021-01-28,2021-02-03,41,272,,944,Being Placed,0
711,9,Pennsylvania,Yinghua,63 Golf View Lane,41,37725,,51.32,96.83,577.77,E-Wallet,SHRYWU341113,2021-01-29,2021-02-07,30,118,,7,Cancelled,0
712,1,Connecticut,Pamplona,9 Anhalt Terrace,32,17148,,14.52,76.37,107.12,Delivered,ODXCQY962540,2021-01-29,2021-02-01,26,154,114,45,Order Placed,1
713,8,Oregon,Darungan Lor,5 Harper Lane,80,10958,,28.94,77.25,661.24,Credit Card,YKTWIZ911518,2021-01-29,2021-02-01,27,145,,58,Delivered,0
714,5,Texas,Sijunjung,779 Fordem Hill,58,44904,front of Mall,96.32,70.22,491.16,Net Banking,EQZXPT981727,2021-01-29,2021-02-03,76,243,,68,Cancelled,0
715,8,Texas,Lucas,942 Golden Leaf Crossing,29,52141,,65.14,87.38,480.06,COD,VCKNVT673990,2021-01-29,2021-02-06,44,47,,129,Delivered,0
716,4,Virginia,Guarapari,60359 Northfield Trail,28,68649,opposite Bakery,52.07,60.49,316.12,E-Wallet,VHZHPM339092,2021-01-29,2021-02-04,96,227,,148,Order Placed,0
717,2,Illinois,Ambositra,87 Dayton Road,19,55036,near Metro,84.85,43.44,116.91,Net Banking,OTLAQM592592,2021-01-29,2021-02-02,70,179,,180,Being Placed,0
718,4,Georgia,Daulatpur,19 Warrior Lane,64,24446,near Garden,68.49,65.47,241.3,Credit Card,BTRXZY119902,2021-01-29,2021-02-02,87,75,,210,Dispatched,0
719,3,North Carolina,Yamen,0794 Hermina Alley,82,45567,near Government School,1.28,80.52,689.14,Credit Card,AZRDQF432084,2021-01-29,2021-02-05,27,229,,267,Order Placed,0
720,10,West Virginia,Ağdam,4133 Cottonwood Hill,70,10124,,91.01,67.84,2994.62,Net Banking,FUQFMW829982,2021-01-29,2021-02-03,18,214,,285,Out For Delivery,0
721,7,Pennsylvania,Nagornyy,42132 Graceland Point,90,56730,,90.61,93.97,436.68,E-Wallet,GBQKWY826422,2021-01-29,2021-02-02,1,282,,332,Cancelled,0
722,4,Missouri,Bombu,532 Homewood Alley,65,90482,,81.95,42.47,89.83,COD,SVTWBI822529,2021-01-29,2021-02-07,13,146,,364,Order Placed,0
723,6,Tennessee,Dokuchayevs’k,0 Hallows Drive,96,91452,near Garden,45.97,77.84,505.38,COD,IBMFRM603939,2021-01-29,2021-02-04,92,99,,373,Being Placed,0
